City,Region,Country,Source,Code,Latitude,Longitude,Time_Zone,Elevation,URL
AWASSA_(LAKE),-,ETH,SWERA,634600,7.07,38.05,3.0,1652.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Awassa.634600_SWERA/ETH_Awassa.634600_SWERA.epw
BAHAR_DAR,-,ETH,SWERA,633320,11.60,37.40,3.0,1820.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Bahar.Dar.633320_SWERA/ETH_Bahar.Dar.633320_SWERA.epw
COMBOLCHA/DESSIE,-,ETH,SWERA,633330,11.08,39.72,3.0,1864.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Combolcha.633330_SWERA/ETH_Combolcha.633330_SWERA.epw
DEBRE_MARCOS,-,ETH,SWERA,633340,10.35,37.72,3.0,2476.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Debre.Marcos.633340_SWERA/ETH_Debre.Marcos.633340_SWERA.epw
DIRE_DAWA_(MIL/CIV),-,ETH,SWERA,634710,9.60,41.87,3.0,1146.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Dire.Dawa.634710_SWERA/ETH_Dire.Dawa.634710_SWERA.epw
GONDAR,-,ETH,SWERA,633310,12.53,37.43,3.0,1985.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Gondar.633310_SWERA/ETH_Gondar.633310_SWERA.epw
JIMMA,-,ETH,SWERA,634020,7.67,36.83,3.0,1676.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Jimma.634020_SWERA/ETH_Jimma.634020_SWERA.epw
METEHARA,-,ETH,SWERA,634530,8.83,39.78,3.0,1062.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ETH/ETH_Metehara.634530_SWERA/ETH_Metehara.634530_SWERA.epw
ACCRA/KOTOKA_INTL,-,GHA,SWERA,654720,5.60,-0.17,0.0,69.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/GHA/GHA_Accra.654720_SWERA/GHA_Accra.654720_SWERA.epw
ACCRA/KOTOKA_INTL,-,GHA,SWERA,654720,5.60,-0.17,0.0,69.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/GHA/GHA_Accra.654720_SWERA/GHA_Accra.654720_SWERA.epw
ELDORET,-,KEN,SWERA,636860,0.53,35.28,3.0,2133.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Eldoret.636860_SWERA/KEN_Eldoret.636860_SWERA.epw
EMBU,-,KEN,SWERA,637200,-0.50,37.45,3.0,1493.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Embu.637200_SWERA/KEN_Embu.637200_SWERA.epw
GARISSA,-,KEN,SWERA,637230,-0.47,39.63,3.0,147.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Garissa.637230_SWERA/KEN_Garissa.637230_SWERA.epw
KAKAMEGA,-,KEN,SWERA,636870,0.28,34.78,3.0,1530.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Kakamega.636870_SWERA/KEN_Kakamega.636870_SWERA.epw
KISII            _,-,KEN,SWERA,637090,-0.67,34.78,3.0,1493.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Kisii.637090_SWERA/KEN_Kisii.637090_SWERA.epw
KISUMU,-,KEN,SWERA,637080,-0.10,34.75,3.0,1146.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Kisumu.637080_SWERA/KEN_Kisumu.637080_SWERA.epw
Kitale,-,KEN,SWERA/EnergyPlu,636610,1.02,35.00,3.0,1875.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Kitale.636610_SWERA/KEN_Kitale.636610_SWERA.epw
LAMU/MANDA_ISLAND,-,KEN,SWERA,637720,-2.27,40.83,3.0,6.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Lamu-Manda.Island.637720_SWERA/KEN_Lamu-Manda.Island.637720_SWERA.epw
LODWAR,-,KEN,SWERA,636120,3.12,35.62,3.0,515.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Lodwar.636120_SWERA/KEN_Lodwar.636120_SWERA.epw
MAKINDU,-,KEN,SWERA,637660,-2.28,37.83,3.0,1000.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Makindu.637660_SWERA/KEN_Makindu.637660_SWERA.epw
MALINDI,-,KEN,SWERA,637990,-3.23,40.10,3.0,23.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Malindi.637990_SWERA/KEN_Malindi.637990_SWERA.epw
MANDERA,-,KEN,SWERA,636240,3.93,41.87,3.0,231.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Mandera.636240_SWERA/KEN_Mandera.636240_SWERA.epw
MARSABIT,-,KEN,SWERA,636410,2.30,37.90,3.0,1345.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Marsabit.636410_SWERA/KEN_Marsabit.636410_SWERA.epw
MERU,-,KEN,SWERA,636950,0.08,37.65,3.0,1554.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Meru.636950_SWERA/KEN_Meru.636950_SWERA.epw
MOMBASA/MOI_INTL,-,KEN,SWERA,638200,-4.03,39.62,3.0,55.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Mombasa-Moi.638200_SWERA/KEN_Mombasa-Moi.638200_SWERA.epw
MOYALE_LOWER_(ODA),-,KEN,SWERA,636190,3.53,39.05,3.0,1097.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Moyale.636190_SWERA/KEN_Moyale.636190_SWERA.epw
